accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	cultivar	ecotype	age	dev_stage	geo_loc_name	tissue	biomaterial_provider	cell_line	cell_type	collected_by	collection_date	culture_collection	disease	disease_stage	genotype	growth_protocol	height_or_length	isolation_source	lat_lon	phenotype	population	sample_type	sex	specimen_voucher	temp	treatment	description
SAMN09924318	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S055		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S055			4-6 weeks		not applicable	Leaf																					
SAMN09924319	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S056		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S056			4-6 weeks		not applicable	Leaf																					
SAMN09924320	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S057		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S057			4-6 weeks		not applicable	Leaf																					
SAMN09924321	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S058		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S058			4-6 weeks		not applicable	Leaf																					
SAMN09924322	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S059		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S059			4-6 weeks		not applicable	Leaf																					
SAMN09924323	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S060		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S060			4-6 weeks		not applicable	Leaf																					
SAMN09924324	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S061		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S061			4-6 weeks		not applicable	Leaf																					
SAMN09924325	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S062		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S062			4-6 weeks		not applicable	Leaf																					
SAMN09924326	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S063		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S063			4-6 weeks		not applicable	Leaf																					
SAMN09924327	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S064		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S064			4-6 weeks		not applicable	Leaf																					
SAMN09924328	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S065		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S065			4-6 weeks		not applicable	Leaf																					
SAMN09924329	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S066		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S066			4-6 weeks		not applicable	Leaf																					
SAMN09924330	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S067		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S067			4-6 weeks		not applicable	Leaf																					
SAMN09924331	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S068		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S068			4-6 weeks		not applicable	Leaf																					
SAMN09924332	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S069		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S069			4-6 weeks		not applicable	Leaf																					
SAMN09924333	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S070		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S070			4-6 weeks		not applicable	Leaf																					
SAMN09924334	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S071		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S071			4-6 weeks		not applicable	Leaf																					
SAMN09924335	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S072		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S072			4-6 weeks		not applicable	Leaf																					
SAMN09924336	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S073		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S073			4-6 weeks		not applicable	Leaf																					
SAMN09924337	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S074		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S074			4-6 weeks		not applicable	Leaf																					
SAMN09924338	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S075		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S075			4-6 weeks		not applicable	Leaf																					
SAMN09924339	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S076		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S076			4-6 weeks		not applicable	Leaf																					
SAMN09924340	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S077		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S077			4-6 weeks		not applicable	Leaf																					
SAMN09924341	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S078		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S078			4-6 weeks		not applicable	Leaf																					
SAMN09924342	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S079		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S079			4-6 weeks		not applicable	Leaf																					
SAMN09924343	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S080		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S080			4-6 weeks		not applicable	Leaf																					
SAMN09924344	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S081		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S081			4-6 weeks		not applicable	Leaf																					
SAMN09924345	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S082		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S082			4-6 weeks		not applicable	Leaf																					
SAMN09924346	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S083		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S083			4-6 weeks		not applicable	Leaf																					
SAMN09924347	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S084		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S084			4-6 weeks		not applicable	Leaf																					
SAMN09924348	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S085		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S085			4-6 weeks		not applicable	Leaf																					
SAMN09924349	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR691S086		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR691S086			4-6 weeks		not applicable	Leaf																					
SAMN09924350	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S001		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S001			4-6 weeks		not applicable	Leaf																					
SAMN09924351	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S002		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S002			4-6 weeks		not applicable	Leaf																					
SAMN09924352	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S003		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S003			4-6 weeks		not applicable	Leaf																					
SAMN09924353	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S004		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S004			4-6 weeks		not applicable	Leaf																					
SAMN09924354	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S005		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S005			4-6 weeks		not applicable	Leaf																					
SAMN09924355	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S006		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S006			4-6 weeks		not applicable	Leaf																					
SAMN09924356	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S007		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S007			4-6 weeks		not applicable	Leaf																					
SAMN09924357	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S008		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S008			4-6 weeks		not applicable	Leaf																					
SAMN09924358	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S009		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S009			4-6 weeks		not applicable	Leaf																					
SAMN09924359	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S010		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S010			4-6 weeks		not applicable	Leaf																					
SAMN09924360	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S011		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S011			4-6 weeks		not applicable	Leaf																					
SAMN09924361	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S012		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S012			4-6 weeks		not applicable	Leaf																					
SAMN09924362	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S013		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S013			4-6 weeks		not applicable	Leaf																					
SAMN09924363	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S014		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S014			4-6 weeks		not applicable	Leaf																					
SAMN09924364	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S015		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S015			4-6 weeks		not applicable	Leaf																					
SAMN09924365	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S016		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S016			4-6 weeks		not applicable	Leaf																					
SAMN09924366	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S017		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S017			4-6 weeks		not applicable	Leaf																					
SAMN09924367	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S018		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S018			4-6 weeks		not applicable	Leaf																					
SAMN09924368	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S019		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S019			4-6 weeks		not applicable	Leaf																					
SAMN09924369	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S020		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S020			4-6 weeks		not applicable	Leaf																					
SAMN09924370	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S021		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S021			4-6 weeks		not applicable	Leaf																					
SAMN09924371	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S022		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S022			4-6 weeks		not applicable	Leaf																					
SAMN09924372	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S023		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S023			4-6 weeks		not applicable	Leaf																					
SAMN09924373	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S024		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S024			4-6 weeks		not applicable	Leaf																					
SAMN09924374	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S025		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S025			4-6 weeks		not applicable	Leaf																					
SAMN09924375	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S026		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S026			4-6 weeks		not applicable	Leaf																					
SAMN09924376	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S027		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S027			4-6 weeks		not applicable	Leaf																					
SAMN09924377	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S028		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S028			4-6 weeks		not applicable	Leaf																					
SAMN09924378	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S029		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S029			4-6 weeks		not applicable	Leaf																					
SAMN09924379	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S030		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S030			4-6 weeks		not applicable	Leaf																					
SAMN09924380	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S031		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S031			4-6 weeks		not applicable	Leaf																					
SAMN09924381	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S032		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S032			4-6 weeks		not applicable	Leaf																					
SAMN09924382	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S033		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S033			4-6 weeks		not applicable	Leaf																					
SAMN09924383	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S034		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S034			4-6 weeks		not applicable	Leaf																					
SAMN09924384	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S035		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S035			4-6 weeks		not applicable	Leaf																					
SAMN09924385	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S036		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S036			4-6 weeks		not applicable	Leaf																					
SAMN09924386	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S037		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S037			4-6 weeks		not applicable	Leaf																					
SAMN09924387	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S038		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S038			4-6 weeks		not applicable	Leaf																					
SAMN09924388	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S039		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S039			4-6 weeks		not applicable	Leaf																					
SAMN09924389	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S040		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S040			4-6 weeks		not applicable	Leaf																					
SAMN09924390	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S041		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S041			4-6 weeks		not applicable	Leaf																					
SAMN09924391	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S042		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S042			4-6 weeks		not applicable	Leaf																					
SAMN09924392	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S043		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S043			4-6 weeks		not applicable	Leaf																					
SAMN09924393	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S044		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S044			4-6 weeks		not applicable	Leaf																					
SAMN09924394	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S045		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S045			4-6 weeks		not applicable	Leaf																					
SAMN09924395	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S046		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S046			4-6 weeks		not applicable	Leaf																					
SAMN09924396	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S047		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S047			4-6 weeks		not applicable	Leaf																					
SAMN09924397	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S048		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S048			4-6 weeks		not applicable	Leaf																					
SAMN09924398	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S049		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S049			4-6 weeks		not applicable	Leaf																					
SAMN09924399	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S050		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S050			4-6 weeks		not applicable	Leaf																					
SAMN09924400	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S051		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S051			4-6 weeks		not applicable	Leaf																					
SAMN09924401	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S052		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S052			4-6 weeks		not applicable	Leaf																					
SAMN09924402	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S053		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S053			4-6 weeks		not applicable	Leaf																					
SAMN09924403	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S054		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S054			4-6 weeks		not applicable	Leaf																					
SAMN09924404	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S055		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S055			4-6 weeks		not applicable	Leaf																					
SAMN09924405	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S056		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S056			4-6 weeks		not applicable	Leaf																					
SAMN09924406	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S057		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S057			4-6 weeks		not applicable	Leaf																					
SAMN09924407	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S058		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S058			4-6 weeks		not applicable	Leaf																					
SAMN09924408	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S059		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S059			4-6 weeks		not applicable	Leaf																					
SAMN09924409	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S060		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S060			4-6 weeks		not applicable	Leaf																					
SAMN09924410	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S061		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S061			4-6 weeks		not applicable	Leaf																					
SAMN09924411	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S062		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S062			4-6 weeks		not applicable	Leaf																					
SAMN09924412	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	HR692S063		PRJNA488050	Hordeum vulgare subsp. Spontaneum	HR692S063			4-6 weeks		not applicable	Leaf																					
SAMN09924413	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI039590		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI039590			4-6 weeks		not applicable	Leaf																					
SAMN09924414	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI039590-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI039590-2			4-6 weeks		not applicable	Leaf																					
SAMN09924415	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI048133		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI048133			4-6 weeks		not applicable	Leaf																					
SAMN09924416	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI048133-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI048133-2			4-6 weeks		not applicable	Leaf																					
SAMN09924417	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI054915		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI054915			4-6 weeks		not applicable	Leaf																					
SAMN09924418	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI054915-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI054915-2			4-6 weeks		not applicable	Leaf																					
SAMN09924419	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI057089		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI057089			4-6 weeks		not applicable	Leaf																					
SAMN09924420	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI057089-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI057089-2			4-6 weeks		not applicable	Leaf																					
SAMN09924421	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI061533		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI061533			4-6 weeks		not applicable	Leaf																					
SAMN09924422	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI061533-2		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI061533-2			4-6 weeks		not applicable	Leaf																					
SAMN09924423	Provided taxonomy information was revised according to NCBI Taxonomy database rules. Please contact biosamplehelp@ncbi.nlm.nih.gov if you have any questions.	PI061533-3		PRJNA488050	Hordeum vulgare subsp. Spontaneum	PI061533-3			4-6 weeks		not applicable	Leaf																					
